billingDetailsID,orderID,firstName,lastName,company,phone,city,country,county,line1,line2,postcode
8fc4b4a3-b19b-4294-a0be-34179b901eb0,eb6d0c84-df1e-4507-8d47-d0992d55e3aa,Jacob,Walsh,,+1-354-269-2027,Sarahland,Romania,Vermont,43334 Henry Road Apt. 774,,74404
623e07f4-834c-4907-a6e1-81a13c3832b5,c7937cfc-57d5-4b10-a61c-d1318a77abcb,Diana,Bryant,,397-805-1357x10292,South Danielstad,Angola,Nevada,197 Garcia Centers,,11180
67e5b60a-d293-4cb0-9e08-47e0dcb3f25d,fa4858ec-ce1b-45e7-98fc-a81366ba4ff5,Timothy,Campbell,,661.529.4190,Josephmouth,Central African Republic,Minnesota,13663 Soto Streets Apt. 096,,00510
ccfd6f55-132d-4c0b-9e20-d0c765ee3db3,ed62dd4c-ba16-478d-ab35-a924a9894439,Timothy,Taylor,,249-952-6017x1202,East Stanley,Pitcairn Islands,Mississippi,335 Fisher Crossroad,,71124
42b6ebe2-a91a-42b5-92c6-5e228f2d5848,78efe8d2-1559-4c36-a8cc-22066e9bfc02,Cynthia,Smith,,845-485-6421x4163,Caseytown,Turks and Caicos Islands,Delaware,8653 Smith Roads,,09197
5193186f-10b8-4b93-9e02-8ca62b00c037,c18982ab-6742-4186-a25b-61a991d439d4,Kara,Perez,,745.891.7633x258,Davisburgh,Finland,Alaska,627 Williams Manor Suite 410,,59379
ed633632-54bb-40c0-95ee-72675b615b4c,46d20cd3-1b2b-44f0-9272-bfe9e5828363,Susan,Farmer,,(977)556-4925,Lawrencefurt,Namibia,Maryland,003 Melendez Place Suite 993,,96797
b8c5241f-f78a-43be-ae2d-ead0f276cb13,500c43f9-30ee-43ed-8de8-6fe07ff351e8,Jeffrey,Walker,,304.915.5011x069,Jesusside,Tonga,Georgia,44773 Carter Light,,24587
e6acd4f9-1f53-4527-979a-598c0929d366,d64cf28c-5206-4ed5-968a-c010cf9f6854,Julie,Lee,,+1-930-859-0350x15194,Rogerstown,Togo,Ohio,994 Zachary Crossing Suite 565,,26695
de94ab58-73cf-4e7e-9c45-e83263ced349,005f222e-3de4-4d35-bdc4-347b4db429c8,Darren,Miller,,+1-811-275-7121x64255,Pageville,Saint Pierre and Miquelon,Kansas,749 Kara Radial Suite 817,,26479
fa06d9fb-68c9-4c73-8132-18abb12c3ab9,fca2c21c-0284-4879-ba5a-c69584523c72,Anita,Sandoval,,(326)346-5980x59246,West Jenniferborough,Anguilla,Missouri,2446 Megan Plaza Suite 700,,73954
