customerID,email,firstName,lastName
gid://shopify/Customer/1627777189,alvarezfrank@example.org,Anthony,Taylor
gid://shopify/Customer/1147801229,jason63@example.net,Chelsea,Green
gid://shopify/Customer/8317742748,cookchelsea@example.net,Eric,Wilson
gid://shopify/Customer/3496349653,esharp@example.net,Eric,Lewis
gid://shopify/Customer/4987995631,jean49@example.org,Victoria,Edwards
gid://shopify/Customer/2964241305,lewisjulie@example.com,Jeffrey,Padilla
gid://shopify/Customer/6350590685,greenashley@example.net,Megan,Rodriguez
gid://shopify/Customer/6801520076,william53@example.com,Kristine,Mcfarland
gid://shopify/Customer/2779334697,hayeslauren@example.org,Jacob,Barker
gid://shopify/Customer/7832137175,julieross@example.org,Margaret,Morrow
gid://shopify/Customer/6923402026,kristenphillips@example.com,James,Khan
gid://shopify/Customer/6449963976,mary85@example.com,Scott,Spears
gid://shopify/Customer/6189938656,maryflores@example.net,Cynthia,Porter
gid://shopify/Customer/4775888969,andrew76@example.com,Shannon,Jones
gid://shopify/Customer/2695007251,kellyparks@example.org,Sophia,Harris
gid://shopify/Customer/8001796306,davidbell@example.com,Donald,Parsons
gid://shopify/Customer/7115779771,fleon@example.com,Robert,Lopez
gid://shopify/Customer/2749398250,cmays@example.net,Richard,Gonzalez
gid://shopify/Customer/6964514220,heather27@example.com,Jeffrey,Gill
gid://shopify/Customer/5205687415,utaylor@example.org,Brandon,Pham
gid://shopify/Customer/1780236250,ricetara@example.org,David,Fields
gid://shopify/Customer/1773212381,shawn66@example.net,Derrick,Stanton
gid://shopify/Customer/4537368019,jennifer36@example.net,Tamara,Gates
gid://shopify/Customer/9535657964,brian35@example.com,Joshua,Olsen
gid://shopify/Customer/8064888369,richard15@example.com,Dana,Roach
gid://shopify/Customer/3365254155,teresalee@example.org,Annette,Macias
gid://shopify/Customer/3659649275,dblack@example.org,Destiny,Anderson
gid://shopify/Customer/7310396089,garrisonbrenda@example.org,Robert,Allen
gid://shopify/Customer/2437125389,qporter@example.com,Jeffery,Smith
gid://shopify/Customer/9380493710,michael92@example.org,John,Miller
gid://shopify/Customer/7171636127,irobinson@example.net,Leah,Flores
gid://shopify/Customer/4763262138,rodriguezlance@example.com,Steven,Sampson
gid://shopify/Customer/8503846842,deborahpennington@example.com,Olivia,Jones
gid://shopify/Customer/9811118152,wolsen@example.net,Alexis,Thompson
gid://shopify/Customer/3704718059,donald21@example.com,John,Martin
gid://shopify/Customer/1780390210,cheryl18@example.org,Amy,Miller
gid://shopify/Customer/5636003375,bradyroger@example.org,Eddie,Alexander
gid://shopify/Customer/4419199925,catherinejones@example.com,Bruce,Willis
gid://shopify/Customer/5685804138,cherylroach@example.org,Katherine,Johnson
gid://shopify/Customer/7674923495,larry78@example.com,Tammy,Garcia
gid://shopify/Customer/9341044269,jenna27@example.com,James,Owens
gid://shopify/Customer/5259544614,pachecoandrew@example.org,David,Banks
gid://shopify/Customer/6959843799,boydhannah@example.com,Steven,Bryant
gid://shopify/Customer/2627350871,joanbranch@example.net,Christopher,Anderson
gid://shopify/Customer/6341074205,tonya28@example.net,Timothy,Johnson
gid://shopify/Customer/7705323750,aaron93@example.net,Zachary,Neal
gid://shopify/Customer/8422677505,matthewstanley@example.com,Ralph,Adams
gid://shopify/Customer/8705376216,akim@example.net,Christine,Tran
gid://shopify/Customer/8063811903,michaelbanks@example.net,Jeffery,Fernandez
gid://shopify/Customer/8841596086,jamiestone@example.com,Ashley,Mitchell
