shippingDetailID,orderID,firstName,lastName,company,phone,city,country,county,line1,line2,postcode
1d937d10-92d5-42c1-8a10-7edc2d73de3b,eb6d0c84-df1e-4507-8d47-d0992d55e3aa,Morgan,Berry,,(415)797-4317x774,Silvaland,Anguilla,New Jersey,58142 Sheri Rue Suite 665,,25741
a3fc5c4c-632c-4d17-9bba-012674f7a7a8,c7937cfc-57d5-4b10-a61c-d1318a77abcb,Michael,Taylor,,2475964130,Scottstad,Maldives,California,6778 Geoffrey Stream,,87871
b2eddb54-d5ba-4d3e-b23a-60ce9f4946df,fa4858ec-ce1b-45e7-98fc-a81366ba4ff5,Tara,Skinner,,496-640-1196,Marciamouth,Lithuania,Ohio,6353 Rodney Knoll Apt. 589,,60289
5867b35f-eda3-4508-9db7-5e36f40add6e,ed62dd4c-ba16-478d-ab35-a924a9894439,Brittany,Martin,,+1-441-843-0302x147,Lake Kellyborough,French Guiana,Tennessee,466 Atkinson Landing Apt. 870,,60808
f14da47e-07a8-48be-a032-98c22b85bca7,78efe8d2-1559-4c36-a8cc-22066e9bfc02,Janet,Huber,,731-597-2732x735,Ryanbury,Poland,Oregon,627 Ryan Isle Apt. 273,,07753
a230d45e-41fd-4f2f-a083-0e3f97a38744,c18982ab-6742-4186-a25b-61a991d439d4,Stacey,Cobb,,(265)604-3603x3317,Johnsontown,Spain,New Hampshire,8469 Melton Throughway Suite 091,,64938
aa97ecaf-076c-47b8-b486-a86f030a425f,46d20cd3-1b2b-44f0-9272-bfe9e5828363,Timothy,Gutierrez,,835-282-4612x6865,Lake Tanner,Indonesia,Tennessee,7534 Welch Junctions Apt. 950,,59220
62d4cc85-60ec-4dfb-b899-2bbf22af5cf1,500c43f9-30ee-43ed-8de8-6fe07ff351e8,Darin,Hall,,(239)509-9280x24758,Gregorystad,Singapore,South Dakota,285 Douglas Estates,,25667
2085447f-7e81-465d-b3d4-e41c1a0dc8dc,d64cf28c-5206-4ed5-968a-c010cf9f6854,Ruth,Barnett,,001-962-615-5623x85753,Carlberg,El Salvador,Texas,00758 Susan Mill,,39560
bc07eadf-dd38-4d38-b40f-dd02be54a6ba,005f222e-3de4-4d35-bdc4-347b4db429c8,Erin,Garrett,,350-254-8414,Rebekahview,Belgium,Arkansas,50342 Martin Greens,,75895
40012a46-f4e0-4ab2-b37a-504541188831,fca2c21c-0284-4879-ba5a-c69584523c72,Richard,Greene,,300-622-4613,Valenciabury,Seychelles,Louisiana,4608 Shelly Pine Suite 397,,83281
eb8de739-cf55-4e8e-8ec0-16c20098d4a5,d65c7e0e-f972-4dd3-9abc-a9c380b604d1,Kayla,Watts,,001-395-461-0778x75605,Kathleenberg,Zimbabwe,Iowa,5569 Melissa Canyon Suite 001,,89565
3dff4c4f-5fdd-46e4-b4af-48a7598b580d,b428b6cb-a0b6-4ada-b965-d969fef0b903,Kimberly,Juarez,,001-242-897-8057,East Stevestad,Bosnia and Herzegovina,Kansas,7355 Carlos Neck,,18403
dfbad3be-ac13-4c89-aef7-aa77202e7435,c595a3f9-bb03-4bdc-b3a8-dc0cde31f840,Teresa,Calhoun,,800-250-0577x51448,Wallston,Bahrain,Mississippi,607 Tamara Mill,,63885
568cf1ad-6e0d-4632-a24a-b10d92bc5553,39184c1a-27b6-4e32-9c01-2234286d2e37,Jacob,Robinson,,001-442-594-1776x861,New Ernest,Argentina,Florida,1080 Chen Causeway Suite 608,,01068
1b21b92e-bf6c-4a1f-9d30-7df751a6d90a,c525a17f-8186-4c11-9fc8-4f0634e4b86f,Angela,Hughes,,+1-853-872-3407x8269,South Williamborough,Bahamas,West Virginia,303 Allison Light Suite 045,,12880
275dcb2c-c32d-4b3c-8d32-c7280e173efb,0d869f2e-75b0-4347-b604-8437b5ac15d8,Brett,Silva,,553-713-0603x513,South Laurenchester,Macao,Maine,5864 Herrera Crescent,,44045
110ee39a-596d-4077-ba08-42a68bb12579,56612376-1312-4519-a631-d7a11691ba40,Kelli,May,,904-606-8905,North Sarah,Rwanda,Michigan,0874 Swanson Forges,,63081
6836877b-1f7e-4c4e-9ac6-68404366a3c6,ba87d1a4-9630-40bd-99cd-63273f1b97e0,Alison,Daniels,,(806)643-5131x3009,North Bailey,Cameroon,Arizona,444 Sara Extensions Apt. 380,,45613
b3e4ba43-26e8-401b-939d-5713ea7f0edc,db291689-c710-40ec-b75a-a9c6b9249ad4,Chelsea,Alvarez,,693.733.2645x7498,West Amanda,Andorra,Wyoming,28527 Amanda Club,,33052
481ec163-8ec5-49c9-a93d-72661664c375,471c09cb-8510-440d-b97a-00c3f9b31cd9,Madison,Riddle,,883.620.2043x20179,North Melissaville,Puerto Rico,Iowa,54618 Evan Pass,,47865
b2262e01-f79c-42e5-978e-ae69abef45aa,586e5d29-3acb-479e-9c66-b8040627bf61,Justin,Li,,+1-556-672-3752x38742,Cochranberg,Saint Pierre and Miquelon,Washington,59333 Jason Isle Apt. 306,,50399
8a55b0fc-3058-411d-82b8-72a63cabdd52,538cc26e-6af8-4c1b-a853-18c300a5a5a8,Dawn,Smith,,+1-552-759-9750,New Davidland,Venezuela,New York,90507 Sarah Spurs,,58883
1e9fd28c-93bc-413a-a902-6107e56b0a7d,4462f2ea-de32-4e71-85d9-285374fbf4ec,Deborah,Mullins,,935.697.3106x58965,North Roberthaven,Bulgaria,Arkansas,09087 Sanchez Coves,,26168
d72d5a47-52dd-458d-be0b-dbd7e837c862,213bbe59-f306-4b13-ba44-59c090369a89,Alex,Vargas,,5474583837,Jamesmouth,Belize,Hawaii,390 Galloway Highway Suite 167,,26854
64f0910f-596e-41f9-a634-ee2ff52fccff,97f9335a-243d-417b-bbf7-2180d6ef0fe2,Chelsea,Rose,,+1-651-214-8079x4420,South Stevenbury,France,Colorado,55087 Brandon Lodge,,28505
140e14a1-7af7-4d40-95be-f3b38fa55695,ab63994c-ee26-4762-b39c-3fff855c4386,Stephanie,Martinez,,646.984.2106x187,Millsside,Antigua and Barbuda,Minnesota,790 Taylor Dam Apt. 498,,38280
4487e147-a0f2-4788-9b58-1c0b78552540,1d79bdfe-4539-4a05-8311-a3ad0fb8af80,Robert,Long,,(739)471-5614x62674,North Leonard,Oman,Wisconsin,4677 Leslie Via Suite 223,,94140
4d9ef5db-ca69-4386-85c2-87d75ee9adfd,1966a8ea-98bc-4f32-90be-9f24c72930fd,Kimberly,Patterson,,402-980-6232x4788,Sawyershire,Czech Republic,Pennsylvania,79285 Clayton Locks Suite 572,,78658
